id,drug_name,adr,release_date,source,source_url,pdf_url,local_file
21,Remdesivir,Sinus bradycardia,2022-Sep-20,CDSCO,https://cdsco.gov.in/opencms/opencms/en/Notifications/Adverse-Drug-Reaction-related-Notifications/,https://cdsco.gov.in/opencms/opencms/system/modules/CDSCO.WEB/elements/download_file_division.jsp?num_id=MTQxNjg=,data\cdsco\adr\021_Remdesivir_Sinus_bradycardia.pdf
22,Tigecycline,Coagulopathy,2022-Sep-20,CDSCO,https://cdsco.gov.in/opencms/opencms/en/Notifications/Adverse-Drug-Reaction-related-Notifications/,https://cdsco.gov.in/opencms/opencms/system/modules/CDSCO.WEB/elements/download_file_division.jsp?num_id=MTQxNjk=,data\cdsco\adr\022_Tigecycline_Coagulopathy.pdf
23,Cephalosporins,Fixed Drug Eruption,2022-Sep-20,CDSCO,https://cdsco.gov.in/opencms/opencms/en/Notifications/Adverse-Drug-Reaction-related-Notifications/,https://cdsco.gov.in/opencms/opencms/system/modules/CDSCO.WEB/elements/download_file_division.jsp?num_id=MTQxNDc=,data\cdsco\adr\023_Cephalosporins_Fixed_Drug_Eruption.pdf
24,Haloperidol,Cogwheel rigidity,2022-Jul-04,CDSCO,https://cdsco.gov.in/opencms/opencms/en/Notifications/Adverse-Drug-Reaction-related-Notifications/,https://cdsco.gov.in/opencms/opencms/system/modules/CDSCO.WEB/elements/download_file_division.jsp?num_id=MTQxNTc=,data\cdsco\adr\024_Haloperidol_Cogwheel_rigidity.pdf
25,Mannitol,Hypokalaemia,2022-Jun-24,CDSCO,https://cdsco.gov.in/opencms/opencms/en/Notifications/Adverse-Drug-Reaction-related-Notifications/,https://cdsco.gov.in/opencms/opencms/system/modules/CDSCO.WEB/elements/download_file_division.jsp?num_id=MTQxNTM=,data\cdsco\adr\025_Mannitol_Hypokalaemia.pdf
26,Mefenamic acid,Fixed Drug Eruption,2022-Jun-14,CDSCO,https://cdsco.gov.in/opencms/opencms/en/Notifications/Adverse-Drug-Reaction-related-Notifications/,https://cdsco.gov.in/opencms/opencms/system/modules/CDSCO.WEB/elements/download_file_division.jsp?num_id=MTQxNjI=,data\cdsco\adr\026_Mefenamic_acid_Fixed_Drug_Eruption.pdf
27,Docetaxel,Candidiasis,2022-Jun-14,CDSCO,https://cdsco.gov.in/opencms/opencms/en/Notifications/Adverse-Drug-Reaction-related-Notifications/,https://cdsco.gov.in/opencms/opencms/system/modules/CDSCO.WEB/elements/download_file_division.jsp?num_id=MTQxNTg=,data\cdsco\adr\027_Docetaxel_Candidiasis.pdf
28,Tramadol,Urinary Retention,2022-Jun-14,CDSCO,https://cdsco.gov.in/opencms/opencms/en/Notifications/Adverse-Drug-Reaction-related-Notifications/,https://cdsco.gov.in/opencms/opencms/system/modules/CDSCO.WEB/elements/download_file_division.jsp?num_id=MTQzMDU=,data\cdsco\adr\028_Tramadol_Urinary_Retention.pdf
29,Olanzapine,Hyponatraemia,2022-Jun-04,CDSCO,https://cdsco.gov.in/opencms/opencms/en/Notifications/Adverse-Drug-Reaction-related-Notifications/,https://cdsco.gov.in/opencms/opencms/system/modules/CDSCO.WEB/elements/download_file_division.jsp?num_id=MTQxNjQ=,data\cdsco\adr\029_Olanzapine_Hyponatraemia.pdf
30,Pulmonary Surfactant,Pulmonary Haemorrhage,2022-May-13,CDSCO,https://cdsco.gov.in/opencms/opencms/en/Notifications/Adverse-Drug-Reaction-related-Notifications/,https://cdsco.gov.in/opencms/opencms/system/modules/CDSCO.WEB/elements/download_file_division.jsp?num_id=MTQxNDI=,data\cdsco\adr\030_Pulmonary_Surfactant_Pulmonary_Haemorrhage.pdf
31,Ceftriaxone,Stevenson Johnson Syndrome,2022-Feb-04,CDSCO,https://cdsco.gov.in/opencms/opencms/en/Notifications/Adverse-Drug-Reaction-related-Notifications/,https://cdsco.gov.in/opencms/opencms/system/modules/CDSCO.WEB/elements/download_file_division.jsp?num_id=MTQzMDk=,data\cdsco\adr\031_Ceftriaxone_Stevenson_Johnson_Syndrome.pdf
32,Amoxicillin/Clavulanate,Stevenson Johnson Syndrome SJS/Toxic Epidermal Necrosis (TEN),2022-Feb-04,CDSCO,https://cdsco.gov.in/opencms/opencms/en/Notifications/Adverse-Drug-Reaction-related-Notifications/,https://cdsco.gov.in/opencms/opencms/system/modules/CDSCO.WEB/elements/download_file_division.jsp?num_id=MTQzMTc=,data\cdsco\adr\032_Amoxicillin_Clavulanate_Stevenson_Johnson_Syndrome_SJS_Toxic_Epidermal_Necrosis_(TEN).pdf
33,Azithromycin,Acute generalized Exanthematosus Pustulosis,2022-Feb-04,CDSCO,https://cdsco.gov.in/opencms/opencms/en/Notifications/Adverse-Drug-Reaction-related-Notifications/,https://cdsco.gov.in/opencms/opencms/system/modules/CDSCO.WEB/elements/download_file_division.jsp?num_id=MTQzMTE=,data\cdsco\adr\033_Azithromycin_Acute_generalized_Exanthematosus_Pustulosis.pdf
34,Ciprofloxacin,Stevenson Johnson Syndrome SJS/Toxic Epidermal Necrosis (TEN),2022-Feb-04,CDSCO,https://cdsco.gov.in/opencms/opencms/en/Notifications/Adverse-Drug-Reaction-related-Notifications/,https://cdsco.gov.in/opencms/opencms/system/modules/CDSCO.WEB/elements/download_file_division.jsp?num_id=MTQzMTg=,data\cdsco\adr\034_Ciprofloxacin_Stevenson_Johnson_Syndrome_SJS_Toxic_Epidermal_Necrosis_(TEN).pdf
35,Cloxacillin,Acute generalized Exanthematosus Pustulosis,2022-Feb-04,CDSCO,https://cdsco.gov.in/opencms/opencms/en/Notifications/Adverse-Drug-Reaction-related-Notifications/,https://cdsco.gov.in/opencms/opencms/system/modules/CDSCO.WEB/elements/download_file_division.jsp?num_id=MTQzMTQ=,data\cdsco\adr\035_Cloxacillin_Acute_generalized_Exanthematosus_Pustulosis.pdf
36,"Dipeptidyl Peptidase-4 (DPP4) Inhibitors like Sitagliptin, Vildagliptin, Saxagliptin etc.",Arthralgia,2022-Feb-04,CDSCO,https://cdsco.gov.in/opencms/opencms/en/Notifications/Adverse-Drug-Reaction-related-Notifications/,https://cdsco.gov.in/opencms/opencms/system/modules/CDSCO.WEB/elements/download_file_division.jsp?num_id=MTQzMTk=,"data\cdsco\adr\036_Dipeptidyl_Peptidase-4_(DPP4)_Inhibitors_like_Sitagliptin,_Vildagliptin,_Saxagliptin_etc._Arthralgia.pdf"
37,Ibuprofen,Stevenson Johnson Syndrome (SJS)/ Toxic Epidermal Necrosis (TEN),2022-Feb-04,CDSCO,https://cdsco.gov.in/opencms/opencms/en/Notifications/Adverse-Drug-Reaction-related-Notifications/,https://cdsco.gov.in/opencms/opencms/system/modules/CDSCO.WEB/elements/download_file_division.jsp?num_id=MTQzMTY=,data\cdsco\adr\037_Ibuprofen_Stevenson_Johnson_Syndrome_(SJS)_Toxic_Epidermal_Necrosis_(TEN).pdf
38,Ranitidine,Cardiac arrest,2022-Feb-04,CDSCO,https://cdsco.gov.in/opencms/opencms/en/Notifications/Adverse-Drug-Reaction-related-Notifications/,https://cdsco.gov.in/opencms/opencms/system/modules/CDSCO.WEB/elements/download_file_division.jsp?num_id=MTQzMTI=,data\cdsco\adr\038_Ranitidine_Cardiac_arrest.pdf
39,Tinidazole,Fixed Drug Eruption (FDE),2022-Feb-04,CDSCO,https://cdsco.gov.in/opencms/opencms/en/Notifications/Adverse-Drug-Reaction-related-Notifications/,https://cdsco.gov.in/opencms/opencms/system/modules/CDSCO.WEB/elements/download_file_division.jsp?num_id=MTQzMjE=,data\cdsco\adr\039_Tinidazole_Fixed_Drug_Eruption_(FDE).pdf
