id,serial_number,title,release_date,pdf_size,source,source_url,pdf_url,local_file
15,15,Fixed Dose Combinations Approved By DCG (I) From 1st January 2020 to 31st December 2020,2021-Aug-03,227 KB,CDSCO,https://cdsco.gov.in/opencms/opencms/en/Approval_new/FDC-New-Drugs-Marketing/,https://cdsco.gov.in/opencms/resources/UploadCDSCOWeb/2018/UploadApprovalMarketingFDC/03.08.2021 FDCs approved  From 01.01.2020 to 31.12.2020.pdf,data\cdsco\fdc_new_drugs\015_Fixed Dose Combinations Approved By DCG (I) From 1st January 2020 to 31st December 2020.pdf
16,16,List of drugs approved from SND Division from 01.01.2021 to 28.02.2021,2021-Apr-08,612 KB,CDSCO,https://cdsco.gov.in/opencms/opencms/en/Approval_new/FDC-New-Drugs-Marketing/,https://cdsco.gov.in/opencms/resources/UploadCDSCOWeb/2018/UploadApprovalMarketingFDC/snd2021feb.pdf,data\cdsco\fdc_new_drugs\016_List of drugs approved from SND Division from 01.01.2021 to 28.02.2021.pdf
17,17,List of drugs approved from SND Division from 01.01.2020 to 31.12.2020,2021-Mar-10,806 KB,CDSCO,https://cdsco.gov.in/opencms/opencms/en/Approval_new/FDC-New-Drugs-Marketing/,https://cdsco.gov.in/opencms/resources/UploadCDSCOWeb/2018/UploadApprovalMarketingFDC/LDASNDDivision till 31 DEC 2020.pdf,data\cdsco\fdc_new_drugs\017_List of drugs approved from SND Division from 01.01.2020 to 31.12.2020.pdf
18,18,Procedure to be followed for subsequent application in respect of FDCs declared as rational by Prof. Kokate Committee and approved by DCG(I),2020-Jan-28,1649 KB,CDSCO,https://cdsco.gov.in/opencms/opencms/en/Approval_new/FDC-New-Drugs-Marketing/,https://cdsco.gov.in/opencms/resources/UploadCDSCOWeb/2018/UploadApprovalMarketingFDC/FDCProf. Kokate Committee and approved by DCG(I) 28.01.2020.pdf,data\cdsco\fdc_new_drugs\018_Procedure to be followed for subsequent application in respect of FDCs declared as rational by Prof. Kokate Committee and approved by DCG(I).pdf
19,19,List of drugs approved from SND Division from 01.01.2019 to 31.12.2019,2020-Jan-07,554 KB,CDSCO,https://cdsco.gov.in/opencms/opencms/en/Approval_new/FDC-New-Drugs-Marketing/,https://cdsco.gov.in/opencms/resources/UploadCDSCOWeb/2018/UploadApprovalMarketingFDC/2019add.pdf,data\cdsco\fdc_new_drugs\019_List of drugs approved from SND Division from 01.01.2019 to 31.12.2019.pdf
20,20,Procedure to be followed for subsequent applicants in respect of FDCs falling under category 'd' as per Prof. Kokate Committee report,2019-May-22,1101 KB,CDSCO,https://cdsco.gov.in/opencms/opencms/en/Approval_new/FDC-New-Drugs-Marketing/,https://cdsco.gov.in/opencms/resources/UploadCDSCOWeb/2018/UploadApprovalMarketingFDC/fdc Prof. Kokate Committee and approved by DCG22.05.2019.pdf,data\cdsco\fdc_new_drugs\020_Procedure to be followed for subsequent applicants in respect of FDCs falling under category 'd' as per Prof. Kokate Committee report.pdf
21,21,Details of 294 FDCs (Annexure C i.e Rational list),2019-Feb-26,213 KB,CDSCO,https://cdsco.gov.in/opencms/opencms/en/Approval_new/FDC-New-Drugs-Marketing/,https://cdsco.gov.in/opencms/resources/UploadCDSCOWeb/2018/UploadApprovalMarketingFDC/Annexurecfdc.pdf,data\cdsco\fdc_new_drugs\021_Details of 294 FDCs (Annexure C i.e Rational list).pdf
22,22,Manufacturing and Marketing permission issued from SND Division from 01.01.2018 to 31.12.2018,2019-Jan-15,209 KB,CDSCO,https://cdsco.gov.in/opencms/opencms/en/Approval_new/FDC-New-Drugs-Marketing/,https://cdsco.gov.in/opencms/resources/UploadCDSCOWeb/2018/UploadApprovalMarketingFDC/SNDApprovalJanury toDec 2018.pdf,data\cdsco\fdc_new_drugs\022_Manufacturing and Marketing permission issued from SND Division from 01.01.2018 to 31.12.2018.pdf
23,23,List of New Drugs Approved for Marketing in India year 2010,2018-Oct-16,434 KB,CDSCO,https://cdsco.gov.in/opencms/opencms/en/Approval_new/FDC-New-Drugs-Marketing/,https://cdsco.gov.in/opencms/resources/UploadCDSCOWeb/2018/UploadApprovalMarketingFDC/OF-APPROVED-DRUG-FROM-01-01-2010-TO-31-12-2010.pdf,data\cdsco\fdc_new_drugs\023_List of New Drugs Approved for Marketing in India year 2010.pdf
24,24,List of Subsequent New drug approval from 1st January 2018 to 04 July 2018,2018-Aug-02,142 KB,CDSCO,https://cdsco.gov.in/opencms/opencms/en/Approval_new/FDC-New-Drugs-Marketing/,https://cdsco.gov.in/opencms/resources/UploadCDSCOWeb/2018/UploadApprovalMarketingFDC/SND Approval Janury to July 2018.pdf,data\cdsco\fdc_new_drugs\024_List of Subsequent New drug approval from 1st January 2018 to 04 July 2018.pdf
